Transaction_Date,Project_Name,Department,Expense_Type,Budget_Amount,Actual_Amount,Variance_Amount
2026-03-20,"Unallocated Corporate Overhead","Post-Production & Sound","Labor - Internal",348612.43,435765.54,87153.11
2026-02-04,"Franchise Shorts","Production & Animation","Equipment Lease",113331.07,158663.50,45332.43
2026-02-07,"Project Elio","Pre-Production & Story","Vendor Contract",374509.22,468136.52,93627.30
2026-03-07,"Franchise Shorts","Marketing & Franchise","Travel & Casting",219465.07,230438.32,10973.25
2026-02-19,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",241265.40,301581.75,60316.35
2026-02-01,"Project Hoppers","Pre-Production & Story","Labor - Internal",46738.28,-58422.85,-105161.13
2026-01-24,"Project Elio","Production & Animation","Equipment Lease",347689.63,486765.48,139075.85
2026-01-04,"Project Elio","Production & Animation","Equipment Lease",328527.61,279248.47,-49279.14
2026-02-24,"Project Elio","Marketing & Franchise","Vendor Contract",261470.24,326837.80,65367.56
2026-03-08,"Project Elio","Marketing & Franchise","Travel & Casting",219174.62,306844.47,87669.85
2026-01-25,"Franchise Shorts","Production & Animation","Travel & Casting",278047.56,291949.94,13902.38
2026-01-02,"Project Elio","Pre-Production & Story","Compute/Cloud Infrastructure",142596.69,135466.86,-7129.83
2026-03-26,"Project Elio","Post-Production & Sound","Vendor Contract",79665.08,83648.33,3983.25
2026-01-12,"Project Elio","Production & Animation","Compute/Cloud Infrastructure",86606.98,90937.33,4330.35
2026-03-01,"Project Hoppers","Technical Operations (Render Farm)","Travel & Casting",149943.47,157440.64,7497.17
2026-03-12,"Franchise Shorts","Pre-Production & Story","Equipment Lease",341604.62,358684.85,17080.23
2026-02-14,"Toy Story 5","Technical Operations (Render Farm)","Labor - Internal",455505.20,569381.50,113876.30
2026-01-17,"Franchise Shorts","Marketing & Franchise","Vendor Contract",54348.53,67935.66,13587.13
2026-01-01,"Project Hoppers","Pre-Production & Story","Compute/Cloud Infrastructure",85703.83,89989.02,4285.19
2026-03-02,"Franchise Shorts","Post-Production & Sound","Labor - Internal",132326.38,138942.70,6616.32
2026-02-28,"Franchise Shorts","Production & Animation","Travel & Casting",197410.63,167799.04,-29611.59
2026-02-15,"Project Elio","Pre-Production & Story","Labor - Internal",191491.53,239364.41,47872.88
2026-02-02,"Project Elio","Technical Operations (Render Farm)","Labor - Internal",232184.60,243793.83,11609.23
2026-03-06,"Project Hoppers","Post-Production & Sound","Travel & Casting",261919.27,327399.09,65479.82
2026-02-06,"Toy Story 5","Production & Animation","Labor - Internal",488813.01,513253.66,24440.65
2026-01-04,"Franchise Shorts","Production & Animation","Travel & Casting",351648.20,298900.97,-52747.23
2026-03-19,"Project Elio","Marketing & Franchise","Vendor Contract",117435.47,99820.15,-17615.32
2026-02-27,"Franchise Shorts","Technical Operations (Render Farm)","Travel & Casting",413762.63,393074.50,-20688.13
2026-03-10,"Project Hoppers","Production & Animation","Compute/Cloud Infrastructure",46253.74,39315.68,-6938.06
2026-02-13,"Toy Story 5","Pre-Production & Story","Labor - Internal",499159.96,-424285.97,-923445.93
2026-03-29,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",258875.58,220044.24,-38831.34
2026-02-21,"Project Hoppers","Marketing & Franchise","Vendor Contract",128488.27,160610.34,32122.07
2026-03-28,"Franchise Shorts","Production & Animation","Labor - Internal",139151.54,194812.16,55660.62
2026-01-08,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",427657.04,598719.86,171062.82
2026-03-23,"Project Hoppers","Pre-Production & Story","Equipment Lease",110484.70,93911.99,-16572.71
2026-03-05,"Franchise Shorts","Marketing & Franchise","Vendor Contract",141391.21,148460.77,7069.56
2026-02-04,"Project Elio","Pre-Production & Story","Compute/Cloud Infrastructure",274958.58,288706.51,13747.93
2026-03-02,"Project Elio","Post-Production & Sound","Compute/Cloud Infrastructure",172824.63,241954.48,69129.85
2026-01-27,"Toy Story 5","Marketing & Franchise","Labor - Internal",482253.75,506366.44,24112.69
2026-01-06,"Toy Story 5","Pre-Production & Story","Labor - Internal",372954.40,466193.00,93238.60
2026-03-14,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",245161.37,343225.92,98064.55
2026-01-19,"Project Hoppers","Pre-Production & Story","Compute/Cloud Infrastructure",149184.57,156643.80,7459.23
2026-02-26,"Toy Story 5","Production & Animation","Vendor Contract",280686.08,294720.38,14034.30
2026-01-16,"Unallocated Corporate Overhead","Production & Animation","Equipment Lease",72800.09,91000.11,18200.02
2026-02-08,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",185146.68,175889.35,-9257.33
2026-03-12,"Project Hoppers","Marketing & Franchise","Travel & Casting",297448.96,312321.41,14872.45
2026-02-26,"Project Elio","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",255797.30,243007.43,-12789.87
2026-01-04,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",387988.73,484985.91,96997.18
2026-01-30,"Project Hoppers","Production & Animation","Travel & Casting",384300.41,480375.51,96075.10
2026-02-21,"Project Hoppers","Production & Animation","Equipment Lease",454506.44,386330.47,-68175.97
2026-03-14,"Project Hoppers","Marketing & Franchise","Labor - Internal",133862.36,187407.30,53544.94
2026-01-29,"Project Elio","Production & Animation","Vendor Contract",436817.19,458658.05,21840.86
2026-02-25,"Franchise Shorts","Production & Animation","Labor - Internal",314647.72,393309.65,78661.93
2026-01-14,"Project Elio","Post-Production & Sound","Labor - Internal",317193.25,444070.55,126877.30
2026-01-04,"Project Elio","Marketing & Franchise","Travel & Casting",378107.38,359202.01,-18905.37
2026-03-17,"Project Elio","Pre-Production & Story","Compute/Cloud Infrastructure",344983.07,482976.30,137993.23
2026-02-20,"Unallocated Corporate Overhead","Production & Animation","Equipment Lease",117349.38,123216.85,5867.47
2026-02-03,"Project Hoppers","Marketing & Franchise","Compute/Cloud Infrastructure",318240.48,270504.41,-47736.07
2026-01-13,"Franchise Shorts","Pre-Production & Story","Labor - Internal",29348.40,24946.14,-4402.26
