Transaction_Date,Project_Name,Department,Expense_Type,Budget_Amount,Actual_Amount
2026-03-20,,Post-Prod & Sound,Labor - Internal,"$348,612.43","$435,765.54"
2026-02-04,Franchise Shorts,Animation & Prod,Equipment Lease,113331.07,158663.5
2026-02-07,Project Elio,Pre-Production & Story,Vendor Contract,374509.22,468136.52
2026-03-07,Franchise Shorts,Marketing,Travel & Casting,219465.07,230438.32
2026-02-19,Project Elio,Tech Ops - Render,Equipment Lease,241265.4,301581.75
02/01/2026,Project Hoppers,Pre-Production & Story,Labor - Internal,"$46,738.28",-58422.85
2026-01-24,Project Elio,Anim & Production,Equipment Lease,347689.63,486765.48
2026-01-04,Project Elio,Anim & Production,Equipment Lease,"$328,527.61",279248.47
2026-02-24,Project Elio,Marketing,Vendor Contract,261470.24,"$326,837.80"
03/08/2026,Project Elio,Marketing,Travel & Casting,219174.62,306844.47
2026-01-25,Franchise Shorts,Animation & Prod,Travel & Casting,278047.56,291949.94
2026-01-02,Project Elio,Pre-Production & Story,Compute/Cloud Infrastructure,142596.69,135466.86
2026-03-26,Project Elio,Post-Prod & Sound,Vendor Contract,79665.08,83648.33
2026-01-12,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,86606.98,90937.33
2026-03-01,Project Hoppers,RENDERING,Travel & Casting,149943.47,157440.64
2026-03-12,Franchise Shorts,Pre-Production & Story,Equipment Lease,341604.62,358684.85
2026-02-14,Toy Story 5,RENDERING,Labor - Internal,455505.2,569381.5
2026-01-17,Franchise Shorts,Marketing,Vendor Contract,54348.53,67935.66
2026-01-01,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,"$85,703.83",89989.02
2026-03-02,Franchise Shorts,Post-Prod & Sound,Labor - Internal,132326.38,138942.7
02/28/2026,Franchise Shorts,Anim & Production,Travel & Casting,197410.63,167799.04
2026-02-15,Project Elio,Pre-Production & Story,Labor - Internal,191491.53,239364.41
2026-02-02,Project Elio,RENDERING,Labor - Internal,"$232,184.60","$243,793.83"
2026-03-06,Project Hoppers,Post-Prod & Sound,Travel & Casting,261919.27,327399.09
2026-02-06,Toy Story 5,Animation & Prod,Labor - Internal,488813.01,513253.66
2026-01-04,Franchise Shorts,Animation & Prod,Travel & Casting,"$351,648.20",298900.97
2026-03-19,Project Elio,Marketing,Vendor Contract,117435.47,99820.15
2026-02-27,Franchise Shorts,RENDERING,Travel & Casting,413762.63,393074.5
2026-03-10,Project Hoppers,Anim & Production,Compute/Cloud Infrastructure,46253.74,39315.68
2026-02-13,Toy Story 5,Pre-Production & Story,Labor - Internal,499159.96,-424285.97
2026-03-29,Franchise Shorts,Anim & Production,Compute/Cloud Infrastructure,258875.58,220044.24
2026-02-21,Project Hoppers,Marketing,Vendor Contract,128488.27,160610.34
2026-03-28,Franchise Shorts,Animation & Prod,Labor - Internal,139151.54,194812.16
2026-01-08,Project Hoppers,RENDERING,Vendor Contract,427657.04,598719.86
03/23/2026,Project Hoppers,Pre-Production & Story,Equipment Lease,110484.7,93911.99
2026-03-05,Franchise Shorts,Marketing,Vendor Contract,141391.21,"$148,460.77"
2026-02-04,Project Elio,Pre-Production & Story,Compute/Cloud Infrastructure,274958.58,"$288,706.51"
03/02/2026,Project Elio,Post-Prod & Sound,Compute/Cloud Infrastructure,172824.63,241954.48
2026-01-27,Toy Story 5,Marketing,Labor - Internal,"$482,253.75",506366.44
2026-01-06,Toy Story 5,Pre-Production & Story,Labor - Internal,372954.4,466193.0
2026-03-14,Project Elio,RENDERING,Equipment Lease,245161.37,"$343,225.92"
2026-01-19,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,149184.57,"$156,643.80"
2026-02-26,Toy Story 5,Anim & Production,Vendor Contract,280686.08,294720.38
2026-01-16,,Animation & Prod,Equipment Lease,72800.09,"$91,000.11"
02/08/2026,Project Hoppers,RENDERING,Vendor Contract,185146.68,175889.35
03/12/2026,Project Hoppers,Marketing,Travel & Casting,297448.96,312321.41
2026-02-26,Project Elio,Tech Ops - Render,Compute/Cloud Infrastructure,255797.3,243007.43
2026-01-04,Project Hoppers,Tech Ops - Render,Vendor Contract,387988.73,484985.91
2026-01-30,Project Hoppers,Anim & Production,Travel & Casting,384300.41,480375.51
2026-02-21,Project Hoppers,Anim & Production,Equipment Lease,454506.44,386330.47
2026-03-14,Project Hoppers,Marketing,Labor - Internal,133862.36,187407.3
2026-01-29,Project Elio,Animation & Prod,Vendor Contract,436817.19,458658.05
2026-02-25,Franchise Shorts,Anim & Production,Labor - Internal,"$314,647.72",393309.65
2026-01-14,Project Elio,Post-Prod & Sound,Labor - Internal,317193.25,444070.55
2026-01-04,Project Elio,Marketing,Travel & Casting,"$378,107.38",359202.01
2026-03-17,Project Elio,Pre-Production & Story,Compute/Cloud Infrastructure,344983.07,482976.3
2026-02-20,,Animation & Prod,Equipment Lease,117349.38,"$123,216.85"
2026-02-03,Project Hoppers,Marketing,Compute/Cloud Infrastructure,318240.48,270504.41
2026-01-13,Franchise Shorts,Pre-Production & Story,Labor - Internal,"$29,348.40",24946.14
2026-03-28,Franchise Shorts,Animation & Prod,Compute/Cloud Infrastructure,360938.37,378985.29
2026-02-13,Franchise Shorts,Marketing,Compute/Cloud Infrastructure,"$278,153.32",347691.65
2026-03-11,Franchise Shorts,Post-Prod & Sound,Travel & Casting,437407.31,459277.68
2026-01-26,Project Hoppers,Marketing,Compute/Cloud Infrastructure,182998.78,228748.48
2026-01-25,Franchise Shorts,RENDERING,Compute/Cloud Infrastructure,352445.13,299578.36
2026-03-29,Toy Story 5,Post-Prod & Sound,Compute/Cloud Infrastructure,29554.61,31032.34
01/23/2026,,Post-Prod & Sound,Labor - Internal,498992.95,474043.3
2026-01-20,Project Elio,Pre-Production & Story,Equipment Lease,255851.16,243058.6
2026-02-25,Franchise Shorts,Animation & Prod,Compute/Cloud Infrastructure,35933.57,37730.25
2026-03-12,Franchise Shorts,Marketing,Vendor Contract,226519.93,283149.91
2026-01-06,Franchise Shorts,Post-Prod & Sound,Labor - Internal,467928.31,"$655,099.63"
02/03/2026,Franchise Shorts,Animation & Prod,Equipment Lease,139523.62,174404.52
2026-03-21,Toy Story 5,RENDERING,Equipment Lease,28068.79,29472.23
